household_id,family_size,head_age,head_gender,life_satisfaction,head_marital_status,spouse_age,spouse_gender,num_children,youngest_child_age,state_code,housing_type,home_equity,total_wealth,num_vehicles,total_income,total_expenditure,food_expenditure,clothing_expenditure,education_expenditure,childcare_expenditure,electronics_expenditure,home_furnishing_equipment,other_recreation_expenditure,housing_expenditure,utilities_expenditure,transportation_expenditure,healthcare_expenditure,travel_expenditure,phone_internet_expenditure
1,2,71,2,2,3,0,0,0,0,14,5,0,2700,1,33526,25456.0,10260.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,1380.0,1312.0,5064.0,0.0,1740.0
2,1,64,2,2,2,0,0,0,0,34,5,0,0,0,9468,9886.02,1300.0,200.0,0.0,0.0,0.0,100.0,0.0,4428.0,0.0,1918.02,500.0,0.0,1440.0
3,2,74,1,2,1,66,2,0,0,23,1,160000,8000,3,43540,24742.0,7280.0,500.0,0.0,0.0,400.0,400.0,0.0,1350.0,3752.0,2460.0,6800.0,600.0,1200.0
4,1,70,2,3,1,0,0,0,0,19,5,0,31500,0,25000,45101.27,13000.0,0.0,0.0,0.0,200.0,2500.0,0.0,18000.0,1200.0,5321.27,2480.0,0.0,2400.0
5,1,63,1,2,4,0,0,0,0,3,5,0,-15000,1,29212,16618.79,4680.0,0.0,0.0,0.0,0.0,0.0,92.0,3900.0,2820.0,2748.0,2018.79,0.0,360.0
6,1,74,2,3,3,0,0,0,0,14,1,150000,42100,1,40594,22156.0,6760.0,200.0,0.0,0.0,0.0,900.0,0.0,5000.0,2268.0,2356.0,2032.0,0.0,2640.0
7,2,68,1,1,1,66,2,0,0,26,1,200000,56000,2,23706,41260.0,7280.0,0.0,0.0,0.0,0.0,3000.0,0.0,3600.0,6000.0,15560.0,4380.0,0.0,1440.0
8,2,80,1,2,1,77,2,0,0,24,1,165000,478500,1,37100,42610.0,9776.0,800.0,0.0,0.0,850.0,700.0,400.0,2700.0,3144.0,7840.0,12800.0,0.0,3600.0
9,2,68,1,3,1,65,2,0,0,31,1,400000,0,1,55600,20427.94,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,4325.92,3106.02,1200.0,3476.0,0.0,3120.0
10,2,66,1,1,1,62,2,0,0,27,1,325000,684951,1,54417,287565.0,10360.0,1726.0,0.0,0.0,240.0,0.0,768.0,1562.0,2460.0,5377.0,24445.0,237651.0,2976.0
11,1,79,2,3,2,0,0,0,0,24,1,65000,10000,1,44814,33642.0,9100.0,300.0,0.0,0.0,1200.0,2000.0,0.0,8832.0,1980.0,2116.0,3914.0,0.0,4200.0
12,1,47,1,3,2,0,0,0,0,24,5,0,32000,1,34015,28700.0,7800.0,150.0,0.0,0.0,70.0,2000.0,100.0,5400.0,1080.0,6360.0,3000.0,1000.0,1740.0
13,2,69,1,1,1,70,2,0,0,9,1,2000000,4150000,3,87000,77100.0,18200.0,500.0,0.0,0.0,0.0,15000.0,500.0,23000.0,3900.0,6400.0,3600.0,3000.0,3000.0
14,2,85,1,2,1,79,2,0,0,3,1,185000,300000,3,70000,26552.0,10400.0,50.0,0.0,0.0,700.0,118.0,0.0,3200.0,2532.0,5700.0,1596.0,0.0,2256.0
15,2,30,1,2,1,34,2,0,0,2,1,70000,165000,1,143000,55490.0,7800.0,500.0,0.0,0.0,1400.0,8000.0,300.0,14400.0,4200.0,7750.0,6940.0,3000.0,1200.0
16,2,78,1,1,1,75,2,0,0,42,1,375000,1905000,1,45000,59500.0,14560.0,1000.0,0.0,0.0,600.0,18800.0,0.0,5750.0,3960.0,2770.0,9660.0,0.0,2400.0
17,2,51,1,1,1,50,2,0,0,39,1,75000,-36000,2,30600,15482.0,5680.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2520.0,6800.0,312.0,0.0,120.0
18,3,51,1,2,1,53,2,1,17,4,1,311000,-34800,3,124114,66776.0,5800.0,500.0,200.0,0.0,3000.0,6200.0,400.0,27352.0,264.0,6800.0,11700.0,0.0,4560.0
19,3,44,1,2,1,41,2,1,17,13,1,38000,47000,3,303308,104648.0,12420.0,3000.0,11200.0,0.0,600.0,3000.0,0.0,16200.0,3960.0,35988.0,6200.0,8000.0,4080.0
20,1,73,2,2,4,0,0,0,0,16,1,150000,360600,1,32182,15939.0,5680.0,200.0,0.0,0.0,350.0,0.0,360.0,1375.0,1200.0,1320.0,4074.0,0.0,1380.0
21,2,32,1,2,1,31,2,0,0,31,1,175000,190000,1,266500,82168.0,15400.0,1000.0,0.0,0.0,600.0,11000.0,0.0,35500.0,3360.0,5988.0,3400.0,4000.0,1920.0
22,2,71,1,2,1,62,1,0,0,9,1,500000,2355000,2,142515,52321.57,15640.0,700.0,0.0,0.0,100.0,5900.0,1000.0,6933.439999999999,3088.13,2360.0,5200.0,9000.0,2400.0
23,1,67,2,2,4,0,0,0,0,4,1,160000,132000,1,45400,18552.0,3640.0,1000.0,0.0,0.0,0.0,0.0,0.0,1136.0,1140.0,3100.0,8536.0,0.0,0.0
24,1,85,2,2,3,0,0,0,0,26,1,85000,1206000,1,32920,11060.0,1610.0,0.0,0.0,0.0,0.0,300.0,0.0,1300.0,2640.0,1620.0,2270.0,0.0,1320.0
25,2,29,2,2,2,0,0,1,2,15,1,180000,-10000,1,40700,22610.0,4940.0,500.0,1400.0,4000.0,1000.0,1000.0,0.0,2900.0,2520.0,1780.0,1030.0,700.0,840.0
26,1,74,1,3,4,0,0,0,0,51,1,450000,124000,2,10355,22390.25,7228.0,150.0,0.0,0.0,0.0,500.0,1040.0,3900.0,1440.0,3440.0,2952.25,0.0,1740.0
27,2,89,2,3,3,0,0,0,0,4,1,2000000,2630600,1,48639,36184.76,5200.0,600.0,0.0,0.0,50.0,0.0,120.0,23381.76,2976.0,700.0,1.0,0.0,3156.0
28,2,64,1,2,1,73,2,0,0,32,1,37000,30000,2,41800,32614.0,3120.0,200.0,0.0,0.0,178.0,700.0,0.0,8076.0,4920.0,6420.0,6000.0,0.0,3000.0
29,1,61,1,1,4,0,0,0,0,31,5,0,75000,0,95100,56401.63,15600.0,1000.0,0.0,0.0,1000.0,1500.0,0.0,28800.0,0.0,1981.63,4120.0,0.0,2400.0
30,2,57,1,2,1,53,2,0,0,37,1,500000,665000,2,241050,95720.0,11960.0,4000.0,25000.0,0.0,2000.0,18000.0,2000.0,10000.0,4200.0,2860.0,4700.0,8000.0,3000.0
31,2,73,1,1,1,71,2,0,0,13,1,250000,197000,2,93150,46846.0,4940.0,1500.0,0.0,0.0,720.0,17000.0,1250.0,2500.0,3744.0,6760.0,2932.0,2500.0,3000.0
32,2,41,1,3,2,35,2,0,0,42,5,0,-205000,2,59000,60216.0,18200.0,1000.0,0.0,0.0,2000.0,1000.0,300.0,6000.0,3120.0,19052.0,2944.0,3000.0,3600.0
33,2,52,1,3,4,51,2,0,0,39,1,120000,63500,3,111939,53600.0,8320.0,1000.0,0.0,0.0,200.0,4500.0,2000.0,600.0,3900.0,12780.0,15200.0,1500.0,3600.0
34,2,65,1,3,1,60,2,0,0,42,5,0,18000,0,48375,43479.09,18720.0,2500.0,0.0,0.0,380.0,0.0,300.0,3300.0,4080.0,9375.09,2136.0,0.0,2688.0
35,2,83,1,1,1,71,2,0,0,46,1,600000,393000,5,62203,41463.0,18200.0,500.0,0.0,0.0,0.0,1000.0,0.0,5583.0,3180.0,3900.0,4300.0,3000.0,1800.0
36,2,52,1,3,2,61,2,0,0,41,5,0,10000,1,41760,11756.3,1248.0,0.0,0.0,0.0,0.0,50.0,0.0,4500.0,1644.0,1941.39,1712.91,0.0,660.0
37,1,39,2,2,2,0,0,0,0,32,1,22000,-73500,1,72800,35257.0,4160.0,300.0,0.0,0.0,0.0,175.0,0.0,13200.0,1560.0,9972.0,2630.0,500.0,2760.0
38,1,46,2,1,2,0,0,0,0,27,5,0,400,1,18012,19078.0,572.0,200.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,2230.0,2576.0,0.0,300.0
39,1,67,1,3,3,0,0,0,0,8,5,0,-950,0,5800,8775.87,1020.0,300.0,0.0,0.0,0.0,200.0,0.0,3744.0,0.0,2431.87,0.0,0.0,1080.0
40,4,28,1,1,1,27,2,2,1,39,1,30000,-152000,2,118000,80650.0,10400.0,500.0,0.0,8000.0,0.0,1700.0,250.0,15240.0,2520.0,33000.0,7100.0,500.0,1440.0
41,7,45,2,1,4,0,0,4,2,34,5,0,3000,1,6573,20112.0,1800.0,300.0,0.0,0.0,0.0,700.0,40.0,8640.0,4200.0,1332.0,0.0,100.0,3000.0
42,1,57,1,3,2,0,0,0,0,37,5,0,0,0,20100,13052.68,2720.0,50.0,0.0,0.0,0.0,0.0,0.0,5400.0,2224.97,2034.71,23.0,0.0,600.0
43,3,75,1,1,4,0,0,1,15,3,1,300000,284000,2,173158,68820.0,13000.0,1000.0,0.0,0.0,1000.0,2000.0,500.0,4200.0,3120.0,20800.0,18500.0,500.0,4200.0
44,1,62,2,2,2,0,0,0,0,24,5,0,0,0,9900,11382.82,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,3600.0,2562.82,0.0,0.0,1080.0
45,2,58,1,3,1,56,2,0,0,34,1,63000,6800,2,39200,19554.0,5220.0,200.0,0.0,0.0,0.0,650.0,0.0,6640.0,2340.0,1564.0,600.0,300.0,2040.0
46,4,44,1,2,1,42,2,1,14,21,1,50000,184000,3,103400,81332.0,16200.0,3000.0,0.0,0.0,400.0,6000.0,200.0,13992.0,4440.0,23180.0,6000.0,3000.0,4920.0
47,2,32,1,2,2,29,2,0,0,36,1,95000,1000,2,72500,50200.0,5720.0,300.0,0.0,0.0,1000.0,500.0,200.0,18000.0,4080.0,9300.0,2700.0,0.0,8400.0
48,4,46,1,2,1,44,2,2,13,10,1,210000,46000,2,154000,101460.0,15600.0,500.0,2500.0,0.0,300.0,30000.0,500.0,32400.0,3960.0,3400.0,9300.0,0.0,3000.0
49,2,33,1,3,3,0,0,0,0,4,5,0,-3000,2,11000,44740.0,7800.0,3000.0,0.0,0.0,600.0,4100.0,0.0,7200.0,3600.0,9840.0,5000.0,0.0,3600.0
